iter	Passed	Remaining
773	4832	13899
774	4838	13892
775	4844	13885
776	4851	13878
777	4857	13874
778	4865	13871
779	4871	13865
780	4877	13859
781	4884	13853
782	4890	13847
783	4896	13840
784	4902	13834
785	4909	13827
786	4915	13822
787	4921	13814
788	4927	13807
789	4932	13799
790	4939	13793
791	4944	13785
792	4951	13779
793	4957	13772
794	4963	13766
795	4969	13760
796	4975	13753
797	4982	13747
798	4987	13740
799	4994	13734
800	5000	13728
801	5006	13722
802	5013	13715
803	5019	13709
804	5025	13702
805	5031	13695
806	5037	13689
807	5043	13682
808	5049	13675
809	5055	13668
810	5061	13661
811	5068	13656
812	5074	13649
813	5081	13647
814	5088	13641
815	5094	13634
816	5101	13630
817	5107	13623
818	5113	13617
819	5119	13609
820	5125	13603
821	5131	13597
822	5137	13590
823	5143	13583
824	5149	13577
825	5155	13569
826	5162	13565
827	5168	13557
828	5174	13552
829	5182	13548
830	5188	13543
831	5194	13536
832	5201	13530
833	5207	13525
834	5214	13519
835	5220	13514
836	5227	13508
837	5233	13501
838	5239	13494
839	5245	13487
840	5252	13484
841	5258	13477
842	5265	13473
843	5272	13467
844	5279	13463
845	5285	13458
846	5292	13452
847	5299	13448
848	5305	13441
849	5311	13434
850	5317	13428
851	5324	13422
852	5330	13416
853	5337	13413
854	5344	13407
855	5350	13401
856	5356	13394
857	5362	13388
858	5368	13381
859	5375	13376
860	5382	13371
861	5388	13365
862	5395	13359
863	5401	13354
864	5408	13348
865	5414	13342
866	5421	13337
867	5426	13329
868	5432	13321
869	5439	13318
870	5447	13314
871	5453	13308
872	5460	13303
873	5466	13297
874	5472	13290
875	5478	13284
876	5485	13279
877	5491	13272
878	5498	13267
879	5504	13261
880	5510	13254
881	5517	13249
882	5525	13247
883	5532	13243
884	5538	13237
885	5545	13230
886	5551	13225
887	5557	13218
888	5564	13213
889	5571	13209
890	5578	13204
891	5584	13198
892	5591	13192
893	5597	13186
894	5603	13178
895	5609	13172
896	5616	13166
897	5622	13161
898	5629	13156
899	5636	13151
900	5642	13145
901	5649	13140
902	5656	13136
903	5663	13131
904	5670	13126
905	5677	13122
906	5683	13115
907	5689	13108
908	5695	13102
909	5701	13095
910	5707	13088
911	5714	13082
912	5721	13078
913	5727	13071
914	5733	13064
915	5739	13058
916	5747	13055
917	5753	13048
918	5760	13043
919	5767	13039
920	5773	13033
921	5780	13027
922	5786	13021
923	5793	13015
924	5798	13008
925	5805	13001
926	5811	12994
927	5818	12990
928	5825	12987
929	5831	12980
930	5838	12975
931	5844	12968
932	5850	12961
933	5857	12956
934	5863	12948
935	5869	12942
936	5874	12934
937	5881	12930
938	5888	12923
939	5893	12916
940	5899	12909
941	5906	12903
942	5912	12896
943	5917	12888
944	5924	12883
945	5930	12877
946	5937	12871
947	5943	12864
948	5949	12858
949	5955	12851
950	5962	12846
951	5970	12843
952	5976	12837
953	5983	12832
954	5990	12827
955	5997	12822
956	6003	12815
957	6010	12810
958	6016	12804
959	6022	12798
960	6029	12792
961	6035	12786
962	6042	12780
963	6047	12773
964	6053	12765
965	6059	12759
966	6066	12753
967	6072	12747
968	6078	12741
969	6084	12734
970	6091	12727
971	6097	12722
972	6104	12716
973	6110	12711
974	6117	12705
975	6122	12697
976	6128	12690
977	6135	12684
978	6141	12678
979	6147	12671
980	6154	12665
981	6160	12658
982	6166	12652
983	6172	12645
984	6178	12638
985	6184	12631
986	6190	12624
987	6195	12617
988	6202	12610
989	6208	12605
990	6214	12598
991	6220	12591
992	6227	12586
993	6233	12580
994	6241	12576
995	6248	12571
996	6255	12566
997	6261	12560
998	6267	12554
999	6273	12547
1000	6279	12541
1001	6286	12535
1002	6292	12528
1003	6298	12522
1004	6305	12516
1005	6311	12510
1006	6318	12505
1007	6324	12499
1008	6331	12493
1009	6337	12487
1010	6343	12480
1011	6350	12474
1012	6356	12469
1013	6363	12462
1014	6368	12455
1015	6374	12448
1016	6380	12441
1017	6387	12435
1018	6393	12429
1019	6399	12422
1020	6405	12416
1021	6411	12409
1022	6418	12403
1023	6425	12398
1024	6431	12392
1025	6437	12386
1026	6443	12379
1027	6450	12373
1028	6456	12367
1029	6463	12362
1030	6470	12356
1031	6476	12350
1032	6482	12344
1033	6489	12338
1034	6495	12332
1035	6502	12327
1036	6508	12320
1037	6515	12315
1038	6521	12308
1039	6527	12301
1040	6533	12295
1041	6539	12288
1042	6546	12282
1043	6552	12277
1044	6559	12271
1045	6565	12264
1046	6571	12257
1047	6577	12252
1048	6584	12245
1049	6590	12239
1050	6595	12231
1051	6601	12224
1052	6607	12217
1053	6614	12212
1054	6620	12206
1055	6627	12200
1056	6633	12193
1057	6639	12187
1058	6645	12180
1059	6651	12174
1060	6658	12167
1061	6664	12161
1062	6670	12154
1063	6677	12150
1064	6684	12144
1065	6690	12138
1066	6696	12131
1067	6703	12126
1068	6709	12120
1069	6715	12112
1070	6722	12107
1071	6728	12102
1072	6735	12095
1073	6741	12088
1074	6747	12083
1075	6753	12075
1076	6759	12069
1077	6766	12063
1078	6772	12057
1079	6779	12052
1080	6786	12047
1081	6793	12041
1082	6800	12038
1083	6806	12030
1084	6812	12024
1085	6819	12018
1086	6825	12012
1087	6831	12006
1088	6838	12001
1089	6846	11997
1090	6854	11993
1091	6861	11989
1092	6868	11983
1093	6875	11978
1094	6881	11971
1095	6888	11967
1096	6894	11960
1097	6901	11954
1098	6907	11948
1099	6913	11941
1100	6918	11933
1101	6924	11926
1102	6931	11920
1103	6937	11915
1104	6943	11907
1105	6949	11901
1106	6955	11894
1107	6962	11888
1108	6968	11882
1109	6974	11875
1110	6981	11870
1111	6988	11865
1112	6995	11859
1113	7001	11853
1114	7007	11847
1115	7014	11840
1116	7019	11833
1117	7026	11827
1118	7032	11821
1119	7038	11814
1120	7044	11807
1121	7050	11801
1122	7056	11794
1123	7062	11788
1124	7068	11781
1125	7075	11775
1126	7081	11768
1127	7087	11762
1128	7093	11755
1129	7099	11749
1130	7106	11742
1131	7113	11739
1132	7120	11733
1133	7126	11727
1134	7132	11720
1135	7138	11713
1136	7144	11706
1137	7151	11701
1138	7157	11695
1139	7164	11689
1140	7171	11683
1141	7177	11678
1142	7184	11671
1143	7190	11666
1144	7197	11660
1145	7203	11654
1146	7210	11648
1147	7217	11643
1148	7223	11636
1149	7230	11631
1150	7236	11624
1151	7243	11619
1152	7249	11613
1153	7256	11607
1154	7262	11601
1155	7269	11595
1156	7275	11588
1157	7281	11581
1158	7287	11575
1159	7293	11569
1160	7300	11564
1161	7306	11556
1162	7313	11552
1163	7319	11545
1164	7325	11538
1165	7331	11531
1166	7337	11524
1167	7343	11517
1168	7349	11511
1169	7355	11505
1170	7362	11499
1171	7368	11493
1172	7374	11486
1173	7381	11480
1174	7387	11474
1175	7395	11470
1176	7403	11466
1177	7412	11465
1178	7420	11461
1179	7429	11458
1180	7435	11452
1181	7441	11445
1182	7449	11441
1183	7456	11436
